ID,어휘,표기통일,뜻검수,예문1,예문2,예문3,그림,관련어10,L4음절선택,L5어절조립,교란지검수,문화편향검수,최종승인,비고
51,불가능,불가능,할 수 없거나 될 수 없음.,불가능의 문제.,불가능의 사명.,불가능의 상황.,미사용,"측정, 추측, 단서, 짐작, 계획, 개요",정답:불가능 | 보기:불/가/능/나/다,"chunks:민수는/집에서/불가능을/배웠다. | targetIndex:2 | vocabDistractor:측정을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:불가능이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=60287
52,수단,수단,어떤 목적을 이루기 위하여 쓰는 방법이나 도구.,결제 수단.,생계 수단.,운송 수단.,미사용,"조사, 실행, 파악, 공통점, 차이점, 비교",정답:수단 | 보기:수/단/가/나/다,"chunks:지수는/도서관에서/수단을/배웠다. | targetIndex:2 | vocabDistractor:조사를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:수단이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15621
53,대부분,대부분,절반이 훨씬 넘어 전체에 가까운 수나 양.,대부분의 학생은 집에 가고 교실에 남아 있는 학생은 몇 명 되지 않았다.,그는 필요한 돈의 대부분을 모았지만 아직도 돈이 조금 모자라 은행을 찾았다.,수험생인 승규는 밥 먹는 시간을 빼고는 하루의 대부분을 공부에 투자하고 있다.,미사용,"단순, 예상, 고려, 계획, 요소, 의미",정답:대부분 | 보기:출/부/대/분/도,"chunks:나는/수업 시간에/대부분을/배웠다. | targetIndex:2 | vocabDistractor:단순을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:대부분이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62394 | AUTO_SELECTED_90_BALANCED
54,정확히,정확히,바르고 확실하게.,정확히 계산하다.,정확히 기억하다.,정확히 말하다.,미사용,"태도, 상상, 관점, 재구성, 배경, 창의적",정답:정확히 | 보기:정/확/히/가/나,"chunks:우리는/교실에서/정확히를/배웠다. | targetIndex:2 | vocabDistractor:태도를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:정확히가,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=70895
55,비슷하다,비슷하다,"둘 이상의 크기, 모양, 상태, 성질 등이 똑같지는 않지만 많은 부분이 닮아 있다.",비슷한 느낌.,비슷한 생김새.,비슷한 수준.,미사용,"구별, 제시, 태도, 구조, 주제, 완성",정답:비슷하다 | 보기:비/짜/하/다/슷/람,"chunks:민수는/집에서/'비슷하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'구별' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'비슷하다' 뜻이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=65864 | AUTO_SELECTED_90_BALANCED
56,특징,특징,다른 것에 비해 특별히 달라 눈에 띄는 점.,남다른 특징.,독특한 특징.,특징이 드러나다.,미사용,"작성, 변화, 탐색, 참고, 예상, 결과",정답:특징 | 보기:특/징/가/나/다,"chunks:지수는/도서관에서/특징을/배웠다. | targetIndex:2 | vocabDistractor:작성을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:특징이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=71299
57,반면,반면,뒤에 오는 말이 앞의 내용과는 반대임.,우리나라는 천연자원이 적은 반면에 인적 자원이 우수하다.,큰아들은 말이 없고 점잖은 반면에 작은아들은 애교가 많다.,이 가수는 가창력이 뛰어난 반면 춤 실력이 부족하다.,미사용,"요소, 계획, 측정, 비교, 해결, 주제",정답:반면 | 보기:대/달/면/판/반,"chunks:나는/수업 시간에/반면을/배웠다. | targetIndex:2 | vocabDistractor:요소를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:반면이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15844 | AUTO_SELECTED_90_BALANCED
58,형태,형태,사물의 생긴 모양.,건물의 형태.,독특한 형태.,형태가 비슷하다.,미사용,"추측, 성질, 구성, 방법, 보존, 계획",정답:형태 | 보기:액/태/측/원/형,"chunks:우리는/교실에서/형태를/배웠다. | targetIndex:2 | vocabDistractor:추측을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:형태가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=86382 | AUTO_SELECTED_90_BALANCED
59,구별,구별,성질이나 종류에 따라 차이가 남. 또는 성질이나 종류에 따라 갈라놓음.,공과 사의 구별.,남녀 구별.,신분의 구별.,미사용,"작품, 의견, 비교, 구조, 영향, 선택",정답:구별 | 보기:구/료/예/별/과,"chunks:민수는/집에서/구별을/배웠다. | targetIndex:2 | vocabDistractor:작품을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:구별이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24112 | AUTO_SELECTED_90_BALANCED
60,연결,연결,둘 이상의 사물이나 현상 등이 서로 이어지거나 관계를 맺음.,자동 연결.,전화 연결.,매끄러운 연결.,미사용,"역할, 자료, 정하다, 참여, 연구, 기술",정답:연결 | 보기:연/결/가/나/다,"chunks:지수는/도서관에서/연결을/배웠다. | targetIndex:2 | vocabDistractor:역할을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:연결이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=13973
61,요소,요소,무엇을 이루는 데 반드시 있어야 할 중요한 성분이나 조건.,구성 요소.,사회 요소.,생산 요소.,미사용,"선택, 크기, 짐작, 부분, 평균, 완성",정답:요소 | 보기:위/예/소/요/련,"chunks:나는/수업 시간에/요소를/배웠다. | targetIndex:2 | vocabDistractor:선택을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:요소가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=69003 | AUTO_SELECTED_90_BALANCED
62,선택,선택,여럿 중에서 필요한 것을 골라 뽑음.,국민의 선택.,방법의 선택.,소재의 선택.,미사용,"제출, 조사, 방식, 보호, 해결, 개요",정답:선택 | 보기:선/택/아/형/태,"chunks:우리는/교실에서/선택을/배웠다. | targetIndex:2 | vocabDistractor:제출을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:선택이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=63164 | AUTO_SELECTED_90_BALANCED
63,간추리다,간추리다,흐트러진 것을 가지런히 정리하다.,간추려 묶다.,돈을 간추리다.,서류를 간추리다.,미사용,"방법, 찬성, 보호, 전시, 평가, 범위",정답:간추리다 | 보기:간/추/리/다/가,"chunks:민수는/집에서/'간추리다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'방법' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'간추리다' 뜻이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=14911
64,적절하다,적절하다,아주 딱 알맞다.,적절한 시기.,적절한 장소.,적절한 행동.,미사용,"보존, 연결, 표시, 파악, 제시, 형태",정답:적절하다 | 보기:달/절/적/다/할/하,"chunks:지수는/도서관에서/'적절하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'보존' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'적절하다' 뜻이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=25053 | AUTO_SELECTED_90_BALANCED
65,판단,판단,논리나 기준에 따라 어떠한 것에 대한 생각을 정함.,가치 판단.,상황 판단.,논리적 판단.,미사용,"성질, 태도, 짐작, 기준, 순서, 용액",정답:판단 | 보기:단/색/과/려/판,"chunks:나는/수업 시간에/판단을/배웠다. | targetIndex:2 | vocabDistractor:성질을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:판단이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62464 | AUTO_SELECTED_90_BALANCED
66,검토,검토,내용을 자세히 따져 봄.,서류 검토.,면밀한 검토.,충분한 검토.,미사용,"판단, 까닭, 표시, 구별, 계획, 보고",정답:검토 | 보기:검/토/당/자/적,"chunks:우리는/교실에서/검토를/배웠다. | targetIndex:2 | vocabDistractor:판단을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:검토가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15936 | AUTO_SELECTED_90_BALANCED
67,고려,고려,어떤 일을 하는 데 여러 가지 상황이나 조건을 신중하게 생각함.,고려 대상.,고려 사항.,고려 중.,미사용,"크기, 설명, 관찰, 정확히, 재구성, 공통점",정답:고려 | 보기:고/꾸/보/려/입,"chunks:민수는/집에서/고려를/배웠다. | targetIndex:2 | vocabDistractor:크기를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:고려가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=23663 | AUTO_SELECTED_90_BALANCED
68,장단점,장단점,좋은 점과 나쁜 점.,성격의 장단점.,장단점이 있다.,장단점이 드러나다.,미사용,"해결, 조사, 구조, 원인, 보호, 주제",정답:장단점 | 보기:생/장/단/절/점,"chunks:지수는/도서관에서/장단점을/배웠다. | targetIndex:2 | vocabDistractor:해결을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:장단점이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=75074 | AUTO_SELECTED_90_BALANCED
69,사례,사례,이전에 실제로 일어난 예.,모범 사례.,성공 사례.,우수 사례.,미사용,"대상, 짐작, 의미, 상상, 보호, 보존",정답:사례 | 보기:요/사/례/서/효,"chunks:나는/수업 시간에/사례를/배웠다. | targetIndex:2 | vocabDistractor:대상을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:사례가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15860 | AUTO_SELECTED_90_BALANCED
70,어렵다,어렵다,하기가 복잡하거나 힘이 들다.,어려운 수술.,어려운 일.,어려운 협상.,미사용,"작품, 제출, 점검, 태도, 상상, 관점",정답:어렵다 | 보기:어/렵/다/가/나,"chunks:우리는/교실에서/'어렵다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'작품' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'어렵다' 뜻이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62232
71,원인,원인,어떤 일이 일어나게 하거나 어떤 사물의 상태를 바꾸는 근본이 된 일이나 사건.,고통의 원인.,문제의 원인.,병의 원인.,미사용,"실행, 관점, 정리, 발달, 구조, 기준",정답:원인 | 보기:특/원/인/평/정,"chunks:민수는/집에서/원인을/배웠다. | targetIndex:2 | vocabDistractor:실행을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:원인이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=70268 | AUTO_SELECTED_90_BALANCED
72,효과적,효과적,어떠한 것을 하여 좋은 결과가 얻어지는 것.,효과적 인 방법.,효과적 인 사용.,효과적 인 수단.,미사용,"관점, 관찰, 보호, 표면, 도구, 평가",정답:효과적 | 보기:과/효/적/반/맞,"chunks:지수는/도서관에서/효과적을/배웠다. | targetIndex:2 | vocabDistractor:관점을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:효과적이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=89366 | AUTO_SELECTED_90_BALANCED
73,까닭,까닭,어떠한 일이 생기거나 어떠한 일을 하게 된 이유나 사정.,무슨 까닭.,특별한 까닭.,까닭이 궁금하다.,미사용,"비교, 고려, 보고, 상황, 발달, 부분",정답:까닭 | 보기:까/당/질/미/닭,"chunks:나는/수업 시간에/까닭을/배웠다. | targetIndex:2 | vocabDistractor:비교를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:까닭이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62453 | AUTO_SELECTED_90_BALANCED
74,역할,역할,맡은 일 또는 해야 하는 일.,역할 분담.,역할 수행.,역할이 크다.,미사용,"대부분, 정확히, 특징, 반면, 형태, 구별",정답:역할 | 보기:역/할/가/나/다,"chunks:우리는/교실에서/역할을/배웠다. | targetIndex:2 | vocabDistractor:대부분을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:역할이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62396
75,자료,자료,연구나 조사를 하는 데 기본이 되는 재료.,기초 자료.,보도 자료.,분석 자료.,미사용,"요소, 선택, 판단, 검토, 고려, 장단점",정답:자료 | 보기:자/료/가/나/다,"chunks:민수는/집에서/자료를/배웠다. | targetIndex:2 | vocabDistractor:요소를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:자료가,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62401
76,정하다,정하다,여러 가지 중에서 하나를 고르다.,기한을 정하다.,날짜를 정하다.,순서를 정하다.,미사용,"관찰, 참고, 실행, 상상, 미래, 순서",정답:정하다 | 보기:비/다/하/질/정,"chunks:지수는/도서관에서/'정하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'관찰' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'정하다' 뜻이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=29767 | AUTO_SELECTED_90_BALANCED
77,참여,참여,여러 사람이 같이 하는 어떤 일에 끼어들어 함께 일함.,봉사 활동 참여.,행사 참여.,자발적인 참여.,미사용,"참고, 의견, 태도, 개요, 요소, 작성",정답:참여 | 보기:참/토/발/여/의,"chunks:나는/수업 시간에/참여를/배웠다. | targetIndex:2 | vocabDistractor:참고를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:참여가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24864 | AUTO_SELECTED_90_BALANCED
78,연구,연구,어떤 사물이나 일에 관련된 사실을 밝히기 위해 그에 대해 자세히 조사하고 분석하는 일.,실험 연구.,학술 연구.,참신한 연구.,미사용,"작성, 도구, 대비, 선택, 구성, 추측",정답:연구 | 보기:찰/글/구/연/다,"chunks:우리는/교실에서/연구를/배웠다. | targetIndex:2 | vocabDistractor:작성을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:연구가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62879 | AUTO_SELECTED_90_BALANCED
79,기술,기술,과학 이론을 실제로 적용하여 인간 생활에 쓸모가 있게 하는 수단.,가공 기술.,건축 기술.,고등 기술.,미사용,"방법, 배경, 기준, 태도, 완성, 의미",정답:기술 | 보기:환/기/장/전/술,"chunks:민수는/집에서/기술을/배웠다. | targetIndex:2 | vocabDistractor:방법을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:기술이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=73355 | AUTO_SELECTED_90_BALANCED
80,번갈다,번갈다,"여럿이 어떤 일을 할 때, 일정한 시간 동안 한 사람씩 차례를 바꾸다.",번갈아 근무하다.,번갈아 돌보다.,번갈아 운전하다.,미사용,"용액, 정리, 완성, 이용, 의생활, 식생활",정답:번갈다 | 보기:번/갈/다/가/나,"chunks:지수는/도서관에서/'번갈다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'용액' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'번갈다' 뜻이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=58358
81,설명,설명,어떤 것을 남에게 알기 쉽게 풀어 말함. 또는 그런 말.,명료한 설명.,자세한 설명.,설명이 부족하다.,미사용,"예상, 파악, 발달, 판단, 연구, 범위",정답:설명 | 보기:설/명/면/해/약,"chunks:나는/수업 시간에/설명을/배웠다. | targetIndex:2 | vocabDistractor:예상을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:설명이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=65116 | AUTO_SELECTED_90_BALANCED
82,관찰,관찰,사물이나 현상을 주의 깊게 자세히 살펴봄.,날카로운 관찰.,면밀한 관찰.,관찰 결과.,미사용,"구조, 조사, 배경, 찬성, 사례, 불가능",정답:관찰 | 보기:탐/찰/관/나/능,"chunks:우리는/교실에서/관찰을/배웠다. | targetIndex:2 | vocabDistractor:구조를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:관찰이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24001 | AUTO_SELECTED_90_BALANCED
83,주제,주제,대화나 연구 등에서 중심이 되는 문제.,논문 주제.,대화 주제.,연설 주제.,미사용,"파악, 기준, 설명, 작품, 의견, 기록",정답:주제 | 보기:람/고/제/당/주,"chunks:민수는/집에서/주제를/배웠다. | targetIndex:2 | vocabDistractor:파악을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:주제가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=91771 | AUTO_SELECTED_90_BALANCED
84,표시,표시,어떤 사항을 알리는 내용을 겉에 드러내 보임.,가격 표시.,경계 표시.,원산지 표시.,미사용,"연결, 역할, 자료, 표면, 반대, 기술",정답:표시 | 보기:미/표/어/위/시,"chunks:지수는/도서관에서/표시를/배웠다. | targetIndex:2 | vocabDistractor:연결을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:표시가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=88633 | AUTO_SELECTED_90_BALANCED
85,의미,의미,"말이나 글, 기호 등이 나타내는 뜻.",단어의 의미.,문장의 의미.,사전적 의미.,미사용,"완성, 조사, 배경, 파악, 제출, 까닭",정답:의미 | 보기:균/계/의/누/미,"chunks:나는/수업 시간에/의미를/배웠다. | targetIndex:2 | vocabDistractor:완성을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:의미가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62385 | AUTO_SELECTED_90_BALANCED
86,상황,상황,일이 진행되어 가는 형편이나 모양.,긴급 상황.,주변 상황.,상황이 나쁘다.,미사용,"해결, 반대, 문제점, 작품, 제출, 점검",정답:상황 | 보기:상/황/가/나/다,"chunks:우리는/교실에서/상황을/배웠다. | targetIndex:2 | vocabDistractor:해결을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:상황이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=16582
87,내용,내용,그릇이나 상자 등의 안에 든 것.,가방의 내용.,상자의 내용.,소포의 내용.,미사용,"주제, 관점, 제출, 점검, 환경, 대비",정답:내용 | 보기:활/움/내/도/용,"chunks:민수는/집에서/내용을/배웠다. | targetIndex:2 | vocabDistractor:주제를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:내용이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=72573 | AUTO_SELECTED_90_BALANCED
88,글의 짜임,짜임,조직이나 구성.,글의 짜임.,직물의 짜임.,짜임이 견고하다.,미사용,"도구, 나누다, 묶다, 표면, 확대, 대상",정답:짜임 | 보기:짜/임/가/나/다,"chunks:지수는/도서관에서/짜임을/배웠다. | targetIndex:2 | vocabDistractor:도구를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:짜임이,혼자 놀았다.",초안,초안,N,OK_NORMALIZED(짜임) | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=78260
89,알아보다,알아보다,모르는 것을 알려고 살펴보거나 조사하다.,알아본 정보.,알아본 내용.,가격을 알아보다.,미사용,"단서, 해결, 크기, 원인, 성질, 반대",정답:알아보다 | 보기:아/알/보/술/위/다,"chunks:나는/수업 시간에/'알아보다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'단서' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'알아보다' 뜻이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=16080 | AUTO_SELECTED_90_BALANCED
90,드러나다,드러나다,가려져 있던 것이 보이게 되다.,모습이 드러나다.,바닥이 드러나다.,뱃살이 드러나다.,미사용,"반대, 실행, 상상, 재구성, 문제점, 묶다",정답:드러나다 | 보기:향/다/나/드/사/러,"chunks:우리는/교실에서/'드러나다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'반대' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'드러나다' 뜻이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15034 | AUTO_SELECTED_90_BALANCED
91,달라지다,달라지다,전과 다르게 되다.,달라지는 도시.,달라진 사항.,달라진 점.,미사용,"수단, 대부분, 정확히, 특징, 반면, 형태",정답:달라지다 | 보기:달/라/지/다/가,"chunks:민수는/집에서/'달라지다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'수단' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'달라지다' 뜻이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62902
92,구성,구성,"여러 필요한 사람이나 몇 가지의 부분 혹은 요소를 모아서 하나로 만드는 일, 또는 그렇게 해서 이루어진 것.",인구 구성.,조직 구성.,구성 비율.,미사용,"전시, 모두, 수단, 상황, 표시, 형태",정답:구성 | 보기:구/성/제/전/식,"chunks:지수는/도서관에서/구성을/배웠다. | targetIndex:2 | vocabDistractor:전시를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:구성이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24512 | AUTO_SELECTED_90_BALANCED
93,모서리,모서리,물건의 모가 진 가장자리.,건물 모서리.,책상 모서리.,침대 모서리.,미사용,"검토, 역할, 성질, 예상, 단순, 반면",정답:모서리 | 보기:리/모/방/까/서,"chunks:나는/수업 시간에/모서리를/배웠다. | targetIndex:2 | vocabDistractor:검토를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:모서리가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=55796 | AUTO_SELECTED_90_BALANCED
94,방법,방법,어떤 일을 해 나가기 위한 수단이나 방식.,공부 방법.,극복 방법.,사용 방법.,미사용,"짐작, 관찰, 제출, 요소, 모두, 구별",정답:방법 | 보기:조/법/오/방/례,"chunks:우리는/교실에서/방법을/배웠다. | targetIndex:2 | vocabDistractor:짐작을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:방법이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=65531 | AUTO_SELECTED_90_BALANCED
95,찬성,찬성,다른 사람의 의견이나 생각 등이 좋다고 인정해 뜻을 같이함.,찬성의 뜻.,찬성과 반대.,찬성이 많다.,미사용,"짜임, 구성, 모서리, 방법, 보호, 전시",정답:찬성 | 보기:찬/성/가/나/다,"chunks:민수는/집에서/찬성을/배웠다. | targetIndex:2 | vocabDistractor:짜임을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:찬성이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24805
96,보호,보호,위험하거나 곤란하지 않게 지키고 보살핌.,동물 보호.,소비자 보호.,인권 보호.,미사용,"범위, 순서, 바꾸다, 용액, 정리, 완성",정답:보호 | 보기:보/호/가/나/다,"chunks:지수는/도서관에서/보호를/배웠다. | targetIndex:2 | vocabDistractor:범위를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:보호가,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62452
97,전시,전시,찾아온 사람들에게 보여 주도록 여러 가지 물품을 한곳에 차려 놓음.,도서 전시.,상품 전시.,작품 전시.,미사용,"의생활, 식생활, 주생활, 기록, 성질, 크기",정답:전시 | 보기:전/시/가/나/다,"chunks:나는/수업 시간에/전시를/배웠다. | targetIndex:2 | vocabDistractor:의생활을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:전시가,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=25317
98,평가,평가,"사물의 값이나 가치, 수준 등을 헤아려 정함. 또는 그 값이나 가치, 수준.",긍정적 평가.,옳은 평가.,정당한 평가.,미사용,"원인, 계획, 결과, 조사, 형태, 까닭",정답:평가 | 보기:가/평/황/견/크,"chunks:우리는/교실에서/평가를/배웠다. | targetIndex:2 | vocabDistractor:원인을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:평가가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=88047 | AUTO_SELECTED_90_BALANCED
99,범위,범위,일정하게 한정된 구역. 또는 어떤 힘이 미치는 한계.,선택 범위.,활동 범위.,범위가 넓다.,미사용,"보고, 제시, 미래, 발달, 움직임, 방식",정답:범위 | 보기:범/위/가/나/다,"chunks:민수는/집에서/범위를/배웠다. | targetIndex:2 | vocabDistractor:보고를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:범위가,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=14454
